,region_id,english_only_2011,arabic_2011,chinese_2011,greek_2011,italian_2011,vietnamese_2011
412,west melbourne,0,0,0,0,0,0
413,west wimmera,2664,0,0,0,0,0
414,west wodonga,13385,16,44,14,64,6
415,wheelers hill,10850,209,2401,1175,737,234
416,white hills  ascot,8059,22,14,6,24,6
417,whittlesea,6413,9,9,80,197,0
418,williamstown,12068,99,117,396,352,90
419,wilsons promontory,10,0,0,0,0,0
420,winchelsea,5202,0,8,8,16,0
421,wodonga,19110,39,51,19,78,14
422,wonthaggi  inverloch,18213,25,39,58,211,7
423,woodend,5735,0,12,12,49,0
424,wyndham vale,13142,140,177,79,123,77
425,yackandandah,4093,0,0,0,10,0
426,yallourn north  glengarry,4059,0,0,3,14,0
427,yarra  north,6454,27,109,293,194,57
428,yarra valley,14280,0,33,30,52,8
429,yarram,4722,6,9,12,20,11
430,yarraville,9639,122,321,743,379,421
431,yarrawonga,6358,0,23,4,22,0
432,yarriambiack,6351,16,18,5,6,0
433,yea,2998,0,15,18,14,0
