locality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,growth_pa
FITZROY NORTH,490000,555500,685000,720000,740000,900000,852500,840000,945000,1010000,1149500,8.9
FIVEWAYS,241500,290000,243500,246000,320000,310000,290000,343500,355000,315000,380000,4.6
FLEMINGTON,386000,400000,512500,556000,580500,670000,657000,652000,741000,730000,822500,7.9
FLINDERS,526500,705000,655000,680000,655000,760000,822000,710000,730000,808000,825000,4.6
FLORA HILL,220000,225500,232000,234500,225000,267000,285000,309000,310000,323500,321000,3.9
FOOTSCRAY,314500,340000,410000,440000,505000,555000,552500,565000,593500,645000,688500,8.2
FOREST HILL,350000,360000,475000,465000,503000,615000,560000,564000,650500,720500,890000,9.8
FORREST,166000,200000,200000,110000,260000,175000,220000,202500,217500,300000,240000,3.8
FOSTER,200000,233000,205000,245000,222000,265000,265000,270000,298000,315000,325000,5
FRANKSTON,237500,245500,280000,303000,315000,366000,357500,338000,350000,372000,426000,6
FRANKSTON NORTH,169000,175500,210000,227000,237000,280000,277000,245000,255000,269000,297000,5.8
FRANKSTON SOUTH,343500,353000,395000,423000,453000,525000,530000,510000,535000,555000,607000,5.9
GARDEN CITY,555000,622500,800000,896000,900000,1062500,912500,965000,1055000,1055000,1320000,9.1
GARFIELD,235000,238000,227000,270000,275000,345000,340000,335000,405000,355000,370000,4.6
GEELONG,334000,319000,352000,360000,382000,462500,495500,462500,500000,511500,599000,6
GEELONG WEST,256500,264000,298000,322500,345000,385000,405000,410000,440000,469000,490000,6.7
GEMBROOK,229000,255000,270000,305000,300000,340000,385000,349000,344000,400000,440000,6.7
GISBORNE,270000,280000,310000,327500,361000,400000,435000,429500,495000,510000,549000,7.4
GLADSTONE PARK,265000,270500,285000,324500,354000,426500,385000,380000,392500,400000,460000,5.7
GLEN HUNTLY,510000,490000,827000,740000,835500,917500,805000,792500,955000,1135000,1243000,9.3
GLEN IRIS,702000,790000,969500,1000000,1007000,1320000,1191500,1200000,1310000,1500000,1802000,9.9
GLEN WAVERLEY,419000,450000,580000,600000,660000,735000,710000,720000,815000,958000,1218000,11.3
GLENGARRY,168000,204000,209000,187000,225000,250000,231000,232000,232500,283000,286000,5.5
GLENROY,275000,280000,319000,375000,420000,506000,452500,439000,453000,499000,558000,7.3
GOLDEN BEACH,125000,158500,150000,172000,152500,150000,229000,206000,169500,172500,180000,3.7
GOLDEN POINT (BALLARAT),181000,187500,197500,197000,210000,250000,258000,250000,265000,265000,258000,3.6
GOLDEN SQUARE,200000,201500,214500,212500,223000,261000,270000,287000,295000,305000,305000,4.3
GORDON,198000,190000,215500,230000,262500,290000,300000,229500,278000,303000,297500,4.2
GOUGHS BAY,159000,185000,174000,175000,183000,193000,180000,220000,257500,247500,265000,5.2
GOWANBRAE,300500,360000,360000,414500,450000,535000,555500,467500,616500,560000,581000,6.8
GRANTVILLE,226000,180000,185000,198500,218000,254000,235000,245000,220000,255000,252500,1.1
GREEN LAKE,183000,162500,157500,205000,230000,230000,247500,247500,260000,254500,281500,4.4
GREENSBOROUGH,334500,356500,391500,405000,440000,530000,513500,490000,534500,573000,635000,6.6
GREENVALE,390000,400000,405000,427500,476000,517500,540000,537000,550000,539000,540000,3.3
GROVEDALE,252500,253000,267500,285000,292000,335000,345000,340000,352000,362000,370000,3.9
