area_code, dths_suic_0_74_1_no_1_08_12_12
525106732,null
525106735,5.1170645
525107350,null
525108190,0.0
530014281,33.0
525108330,8.0
530051960,null
525109310,null
525109330,0.0
525155950,0.0
535033524,8.0155875
535051540,6.0
535053360,null
535057770,null
525156370,0.0
525156860,0.0
535154060,null
525158400,0.0
540100250,null
525159030,0.0
540107560,14.9999967
525159360,null
545059340,13.9976936
530054284,0.0
545100980,28.990143
545102800,27.3356506
605050410,12.0
530054970,0.0
605051410,34.6379203
605051511,6.047095
605052610,41.9437018
530055040,0.0
610051512,null
610052410,null
610053010,11.9999997
610053612,null
610054812,null
610055010,null
530055390,0.0
530056620,0.0
530103080,null
530103290,6.4893716
530107420,null
535033522,15.8602682
535058470,0.0
610055210,null
615052211,null
535102380,0.0
535105250,null
535105810,0.0
535106160,0.0
535107630,0.0
535109250,null
535109350,0.0
535151470,null
535151610,null
535152030,null
535153526,null
535155530,0.0
615054012,46.8997585
615054211,null
615054611,5.0061102
615055811,10.057668
615102212,0.0
615104013,5.4535001
615104212,11.9633908
535155670,0.0
535156020,0.0
535156790,null
535157000,null
535158260,0.0
540053220,null
540057280,17.3280196
605052811,null
605052812,44.0127327
605053611,25.9982852
605054811,8.7871274
610051010,null
705051011,1.48368039081175
705051014,1.06151175929175
705051024,2.67583556652588
705051018,2.70168283017928
705051026,0.134086290048141
705051028,1.59718599448041
705051052,1.33890935232302
705051054,1.07269032038513
705051058,2.16900692335189
705051064,0.956644831067234
705051068,2.31542839095733
705051088,3.43043809037254
705051098,3.06909235445094
705051104,2.33746704697875
705051108,0.462129957793825
705051114,2.35578648613819
705051118,1.98130090527399
705051124,1.70160992006714
705051128,0.170258405502988
705051134,1.71855113243812
705102804,2.97702998117684
705051138,1.42069101734728
705102806,2.86442364619143
705102808,3.32892477800626
705101169,0.752049451509719
705102802,3.2072697196738
705102811,2.6914924888924
705102814,3.20827513337903
705102818,3.43750945817076
705102824,6.13603984299975
705202304,null
705202308,17.736331
710050540,0.0
710050700,null
710051509,null
710252409,7.9999997
710302200,4.9921805
710054560,0.0
710104050,null
710154663,null
710154666,9.2783824
710250419,null
710251300,15.2337748
710303600,8.007819
710350425,null
710400201,6.2104065
710400203,null
710400205,8.6052761
710400207,4.9936946
710400208,null
805050189,3.21453316389093
805050639,2.10929845831791
710400620,6.0536444
710402330,10.0950709
805050909,1.48886212741106
805051449,1.30610869660703
805051889,1.34831457677903
805052169,0.792085755788608
805055229,2.82642018291155
805055769,0.0
805103879,1.2034102201998
805053609,1.83597601716546
805055049,0.0
805056389,3.30778108789247
805057209,0.730088389389266
805057479,0.0
805058289,1.66282488685996
805058559,3.22713423470195
805100459,2.48885202712592
805100549,null
805101629,1.21470788221141
805100729,1.52052349791791
805102619,2.82773088744694
805101179,1.72188612967751
805208469,1.25460217037916
805102139,null
805103249,0.785960737656157
805102259,1.28780487804878
805102709,1.99512123725423
805102889,1.19000341513392
805103969,1.73479045714007
805104149,2.70093184368444
805105589,3.08806166756111
805104779,1.73991671624033
805105139,2.02149094989511
805105409,0.665794170136823
805105679,1.06993043569224
